,CO2
39691,195.0
39920,227.0
39921,229.0
39928,230.0
39929,232.0
39936,232.0
39937,234.0
40040,227.0
40160,227.0
40304,232.0
40305,234.0
40664,221.0
40665,223.0
40672,221.0
40673,224.0
40680,224.0
40681,226.0
41048,224.0
41049,226.0
41827,140.0
41835,105.0
41836,118.0
41837,143.0
41840,138.0
41848,103.0
41849,103.0
41850,115.0
41851,141.0
41854,149.0
41855,158.0
41860,122.0
41861,150.0
41866,115.0
41867,115.0
41868,129.0
41869,130.0
41870,160.0
41876,114.0
41877,139.0
41890,99.0
41891,99.0
41892,135.0
41893,114.0
41894,139.0
41900,143.0
41901,118.0
41906,127.0
41907,125.0
41910,134.0
41911,132.0
41914,145.0
41915,142.0
41917,150.0
41918,147.0
41919,153.0
41923,126.0
41924,138.0
41925,140.0
41926,153.0
41928,169.0
41929,167.0
41930,165.0
41931,163.0
41933,207.0
41936,216.0
41938,213.0
41939,224.0
41965,134.0
41966,124.0
41976,210.0
41980,110.0
41983,138.0
41984,138.0
41985,144.0
41986,144.0
41988,138.0
41989,144.0
41992,138.0
41993,138.0
41994,144.0
41995,144.0
41998,144.0
41999,250.0
42000,224.0
42001,238.0
42002,202.0
42003,175.0
42004,190.0
42005,202.0
42006,175.0
42007,171.0
42008,190.0
42009,188.0
42010,202.0
42011,175.0
42012,190.0
42013,202.0
42014,175.0
42015,171.0
42016,190.0
42017,188.0
42021,202.0
42022,175.0
42023,190.0
42029,202.0
42030,175.0
42031,171.0
42032,190.0
42033,188.0
42034,202.0
42035,175.0
42037,202.0
42038,175.0
42039,171.0
42042,202.0
42043,202.0
42044,202.0
42045,187.0
42046,202.0
42047,187.0
42048,190.0
42049,190.0
42050,188.0
42051,202.0
42052,175.0
42053,190.0
42054,202.0
42055,175.0
42056,171.0
42057,190.0
42058,188.0
42061,190.0
42065,190.0
42066,188.0
42067,202.0
42068,175.0
42069,190.0
42070,202.0
42071,175.0
42072,171.0
42073,190.0
42074,188.0
42075,202.0
42076,175.0
42077,190.0
42078,202.0
