"Marque;Carburant;puiss_max;masse_ordma_min;Carrosserie;boite;gamme2;CO2;Cat_CO2"
"BENTLEY;ES;373.0;2505;BERLINE;A;LUXE;250.0;G"
"BENTLEY;ES;373.0;2492;BERLINE;A;LUXE;250.0;G"
"BENTLEY;ES;377.0;2760;BERLINE;A;LUXE;393.0;G"
"BMW;GO;70.0;1380;BERLINE;M;MOY-INFERIEURE;112.0;B"
"BMW;ES;75.0;1365;BERLINE;M;MOY-INFERIEURE;129.0;C"
"BMW;ES;75.0;1365;BERLINE;M;MOY-INFERIEURE;132.0;C"
"BMW;GO;70.0;1385;BERLINE;M;MOY-INFERIEURE;112.0;B"
"BMW;ES;90.0;1320;BERLINE;M;MOY-INFERIEURE;143.0;D"
"BMW;ES;90.0;1350;BERLINE;A;MOY-INFERIEURE;154.0;D"
"BMW;GO;85.0;1370;BERLINE;M;MOY-INFERIEURE;118.0;B"
"BMW;ES;100.0;1385;BERLINE;A;MOY-INFERIEURE;134.0;C"
"BMW;ES;100.0;1365;BERLINE;M;MOY-INFERIEURE;132.0;C"
"BMW;ES;160.0;1440;BERLINE;A;MOY-INFERIEURE;149.0;D"
"BMW;ES;160.0;1420;BERLINE;M;MOY-INFERIEURE;154.0;D"
"BMW;GO;85.0;1420;BERLINE;A;MOY-INFERIEURE;119.0;B"
"BMW;GO;85.0;1385;BERLINE;M;MOY-INFERIEURE;117.0;B"
"BMW;ES;105.0;1495;BERLINE;M;MOY-INFERIEURE;152.0;D"
"BMW;ES;105.0;1520;BERLINE;A;MOY-INFERIEURE;162.0;E"
"BMW;GO;105.0;1560;CABRIOLET;M;MOY-INFERIEURE;127.0;C"
"BMW;GO;105.0;1575;CABRIOLET;A;MOY-INFERIEURE;145.0;D"
"BMW;GO;105.0;1395;COUPE;M;MOY-INFERIEURE;118.0;B"
"BMW;GO;105.0;1420;COUPE;A;MOY-INFERIEURE;140.0;C"
"BMW;ES;125.0;1390;BERLINE;A;MOY-INFERIEURE;134.0;C"
"BMW;ES;125.0;1370;BERLINE;M;MOY-INFERIEURE;137.0;C"
"BMW;GO;105.0;1385;BERLINE;M;MOY-INFERIEURE;119.0;B"
"BMW;GO;105.0;1410;BERLINE;A;MOY-INFERIEURE;140.0;C"
"BMW;ES;105.0;1340;BERLINE;M;MOY-INFERIEURE;143.0;D"
"BMW;ES;105.0;1365;BERLINE;A;MOY-INFERIEURE;154.0;D"
"BMW;ES;125.0;1370;BERLINE;M;MOY-INFERIEURE;134.0;C"
"BMW;GO;105.0;1420;BERLINE;A;MOY-INFERIEURE;119.0;B"
"BMW;GO;105.0;1395;BERLINE;M;MOY-INFERIEURE;118.0;B"
"BMW;ES;125.0;1375;COUPE;M;MOY-INFERIEURE;152.0;D"
"BMW;ES;125.0;1395;COUPE;A;MOY-INFERIEURE;154.0;D"
"BMW;ES;125.0;1505;CABRIOLET;M;MOY-INFERIEURE;158.0;D"
"BMW;ES;125.0;1535;CABRIOLET;A;MOY-INFERIEURE;163.0;E"
"BMW;GO;130.0;1580;CABRIOLET;M;MOY-INFERIEURE;132.0;C"
"BMW;GO;130.0;1590;CABRIOLET;A;MOY-INFERIEURE;145.0;D"
"BMW;GO;130.0;1450;COUPE;M;MOY-INFERIEURE;124.0;C"
"BMW;GO;130.0;1450;COUPE;A;MOY-INFERIEURE;140.0;C"
"BMW;GO;135.0;1415;BERLINE;M;MOY-INFERIEURE;119.0;B"
"BMW;GO;135.0;1415;BERLINE;M;MOY-INFERIEURE;122.0;C"
"BMW;GO;135.0;1495;BERLINE;M;MOY-INFERIEURE;123.0;C"
